id,name,source,type,regime,score_type,description,url,notes,is_standard,created_by
1,Fran,CrossFit,Girl,Fastest Time,Time (MM:SS),"21-15-9 reps for time of: Thrusters (95/65 lb) and Pull-ups",https://www.crossfit.com/workout/fran,Classic benchmark - one of the original Girl WODs,TRUE,
2,Cindy,CrossFit,Girl,AMRAP,Rounds+Reps,"20 min AMRAP: 5 Pull-ups, 10 Push-ups, 15 Air Squats",https://www.crossfit.com/workout/cindy,Bodyweight benchmark,TRUE,
3,Diane,CrossFit,Girl,Fastest Time,Time (MM:SS),"21-15-9 reps for time of: Deadlifts (225/155 lb) and Handstand Push-ups",https://www.crossfit.com/workout/diane,Heavy deadlifts with gymnastic pressing,TRUE,
4,Helen,CrossFit,Girl,Fastest Time,Time (MM:SS),"3 rounds for time: 400m Run, 21 Kettlebell Swings (53/35 lb), 12 Pull-ups",https://www.crossfit.com/workout/helen,Mixed modal cardio and gymnastics,TRUE,
5,Grace,CrossFit,Girl,Fastest Time,Time (MM:SS),30 Clean & Jerks for time (135/95 lb),https://www.crossfit.com/workout/grace,Pure barbell benchmark,TRUE,
6,Isabel,CrossFit,Girl,Fastest Time,Time (MM:SS),30 Snatches for time (135/95 lb),https://www.crossfit.com/workout/isabel,Olympic lifting benchmark,TRUE,
7,Annie,CrossFit,Girl,Fastest Time,Time (MM:SS),"50-40-30-20-10 reps for time of: Double Unders and Sit-ups",https://www.crossfit.com/workout/annie,Jump rope and core work,TRUE,
8,Nancy,CrossFit,Girl,Fastest Time,Time (MM:SS),"5 rounds for time: 400m Run and 15 Overhead Squats (95/65 lb)",https://www.crossfit.com/workout/nancy,Running and overhead squatting,TRUE,
9,Karen,CrossFit,Girl,Fastest Time,Time (MM:SS),150 Wall Balls for time (20/14 lb to 10/9 ft target),https://www.crossfit.com/workout/karen,High volume wall balls,TRUE,
10,Jackie,CrossFit,Girl,Fastest Time,Time (MM:SS),"For time: 1000m Row, 50 Thrusters (45/35 lb), 30 Pull-ups",https://www.crossfit.com/workout/jackie,Mixed modal sprint workout,TRUE,
11,Amanda,CrossFit,Girl,Fastest Time,Time (MM:SS),"9-7-5 reps for time of: Muscle-ups and Squat Snatches (135/95 lb)",https://www.crossfit.com/workout/amanda,Advanced gymnastics and Olympic lifting,TRUE,
12,Lynne,CrossFit,Girl,Max Weight,Total Reps,"5 rounds for max reps: Bodyweight Bench Press and Pull-ups",https://www.crossfit.com/workout/lynne,Upper body strength test,TRUE,
13,Mary,CrossFit,Girl,AMRAP,Rounds+Reps,"20 min AMRAP: 5 Handstand Push-ups, 10 Pistol Squats, 15 Pull-ups",https://www.crossfit.com/workout/mary,Advanced gymnastics benchmark,TRUE,
14,Eva,CrossFit,Girl,Fastest Time,Time (MM:SS),"5 rounds for time: 800m Run, 30 Kettlebell Swings (53/35 lb), 30 Pull-ups",https://www.crossfit.com/workout/eva,Long chipper with running,TRUE,
15,Kelly,CrossFit,Girl,Fastest Time,Time (MM:SS),"5 rounds for time: 400m Run, 30 Box Jumps (24/20 in), 30 Wall Balls (20/14 lb)",https://www.crossfit.com/workout/kelly,Mixed modal endurance workout,TRUE,
16,Murph,CrossFit,Hero,Fastest Time,Time (MM:SS),"For time (with 20 lb vest): 1 mile Run, 100 Pull-ups, 200 Push-ups, 300 Air Squats, 1 mile Run",https://www.crossfit.com/workout/murph,Memorial Day benchmark - honoring Lt. Michael Murphy,TRUE,
17,DT,CrossFit,Hero,Fastest Time,Time (MM:SS),"5 rounds for time: 12 Deadlifts, 9 Hang Power Cleans, 6 Push Jerks (155/105 lb)",https://www.crossfit.com/workout/dt,Heavy barbell complex,TRUE,
18,Filthy Fifty,CrossFit,Benchmark,Fastest Time,Time (MM:SS),"For time: 50 Box Jumps (24/20 in), 50 Jumping Pull-ups, 50 Kettlebell Swings (35/26 lb), 50 Walking Lunges, 50 Knees-to-Elbows, 50 Push Press (45/35 lb), 50 Back Extensions, 50 Wall Balls (20/14 lb), 50 Burpees, 50 Double Unders",https://www.crossfit.com/workout/filthy-fifty,Classic 500 rep chipper,TRUE,
19,Fight Gone Bad,CrossFit,Benchmark,Rounds+Reps,"3 rounds, 1 min each station: Wall Balls (20/14 lb), SDHP (75/55 lb), Box Jumps (20 in), Push Press (75/55 lb), Row (calories). 1 min rest between rounds",https://www.crossfit.com/workout/fight-gone-bad,Five station interval workout,TRUE,
20,King Kong,CrossFit,Benchmark,Fastest Time,Time (MM:SS),"For time: 1 Deadlift (455/315 lb), 2 Muscle-ups, 3 Squat Cleans (250/165 lb), 4 Handstand Push-ups, 5 rounds",https://www.crossfit.com/workout/king-kong,Heavy and technical movements,TRUE,
21,The Seven,CrossFit,Hero,Rounds+Reps,"7 rounds: 7 Handstand Push-ups, 7 Thrusters (135/95 lb), 7 Knees-to-Elbows, 7 Deadlifts (245/165 lb), 7 Burpees, 7 Kettlebell Swings (70/53 lb), 7 Pull-ups",https://www.crossfit.com/workout/the-seven,Seven rounds of seven reps - honoring fallen SEAL Team members,TRUE,
22,Angie,CrossFit,Girl,Fastest Time,Time (MM:SS),"For time: 100 Pull-ups, 100 Push-ups, 100 Sit-ups, 100 Air Squats",https://www.crossfit.com/workout/angie,Bodyweight benchmark - 400 total reps,TRUE,
23,Barbara,CrossFit,Girl,Fastest Time,Time (MM:SS),"5 rounds for time: 20 Pull-ups, 30 Push-ups, 40 Sit-ups, 50 Air Squats. Rest 3 min between rounds",https://www.crossfit.com/workout/barbara,Descending rep scheme with rest,TRUE,
24,Chelsea,CrossFit,Girl,Rounds+Reps,"30 min EMOM: 5 Pull-ups, 10 Push-ups, 15 Air Squats",https://www.crossfit.com/workout/chelsea,High volume bodyweight EMOM,TRUE,
25,Elizabeth,CrossFit,Girl,Fastest Time,Time (MM:SS),"21-15-9 reps for time: Squat Cleans (135/95 lb) and Ring Dips",https://www.crossfit.com/workout/elizabeth,Heavy barbell and gymnastics,TRUE,
26,JT,CrossFit,Hero,Fastest Time,Time (MM:SS),"21-15-9 reps for time: Handstand Push-ups, Ring Dips, Push-ups",https://www.crossfit.com/workout/jt,Pure pressing volume - honoring Jeffrey Taylor,TRUE,
27,Randy,CrossFit,Hero,Fastest Time,Time (MM:SS),75 Power Snatches for time (75/55 lb),https://www.crossfit.com/workout/randy,High rep snatches - honoring Randy Simmons,TRUE,
28,Nate,CrossFit,Hero,AMRAP,Rounds+Reps,"20 min AMRAP: 2 Muscle-ups, 4 Handstand Push-ups, 8 Kettlebell Swings (70/53 lb)",https://www.crossfit.com/workout/nate,Advanced gymnastics AMRAP - honoring Nate Hardy,TRUE,
29,Jason,CrossFit,Hero,Fastest Time,Time (MM:SS),"For time: 100 Squats, 5 Muscle-ups, 75 Squats, 10 Muscle-ups, 50 Squats, 15 Muscle-ups, 25 Squats, 20 Muscle-ups",https://www.crossfit.com/workout/jason,Muscle-up volume - honoring Jason Lewis,TRUE,
30,Michael,CrossFit,Hero,Fastest Time,Time (MM:SS),"3 rounds for time: 800m Run, 50 Back Extensions, 50 Sit-ups",https://www.crossfit.com/workout/michael,Running and midline work - honoring Michael McGreevy,TRUE,
31,Daniel,CrossFit,Hero,Fastest Time,Time (MM:SS),"5 rounds for time: 50 Pull-ups, 400m Run, 21 Thrusters (95/65 lb), 800m Run, 21 Thrusters (95/65 lb), 400m Run, 50 Pull-ups",https://www.crossfit.com/workout/daniel,Long chipper with running - honoring Daniel Cranendonk,TRUE,
32,Tommy V,CrossFit,Hero,Fastest Time,Time (MM:SS),"21 Thrusters (115/80 lb), 12 Rope Climbs, 15 Thrusters, 9 Rope Climbs, 9 Thrusters, 6 Rope Climbs for time",https://www.crossfit.com/workout/tommy-v,Thrusters and rope climbs - honoring Thomas J. Valentine,TRUE,
33,Bradley,CrossFit,Hero,Fastest Time,Time (MM:SS),"5 rounds for time: 11 Back Squats (225/155 lb), 800m Run",https://www.crossfit.com/workout/bradley,Heavy squats and running - honoring PFC Bradley Rappuhn,TRUE,
34,Roy,CrossFit,Hero,Rounds+Reps,"5 rounds: 15 Deadlifts (225/155 lb), 20 Box Jumps (24/20 in), 25 Pull-ups",https://www.crossfit.com/workout/roy,Heavy deadlifts - honoring Roy Holbrook,TRUE,
35,Garrett,CrossFit,Hero,Fastest Time,Time (MM:SS),"3 rounds for time: 75 Squats, 25 Handstand Push-ups, 25 L Pull-ups",https://www.crossfit.com/workout/garrett,High volume gymnastics - honoring Garrett Lawton,TRUE,
36,Griff,CrossFit,Hero,Fastest Time,Time (MM:SS),"For time: 800m Run, 4 rounds of 5 Deadlifts (approximately bodyweight), 10 Burpees, 800m Run",https://www.crossfit.com/workout/griff,Running bookends - honoring Travis L. Griffin,TRUE,
37,Joshie,CrossFit,Hero,Fastest Time,Time (MM:SS),"21-15-9 reps for time: Overhead Squats (95/65 lb), Ring Dips",https://www.crossfit.com/workout/joshie,OHS and ring dips - honoring Joshua Hager,TRUE,
38,McGhee,CrossFit,Hero,Fastest Time,Time (MM:SS),"5 rounds for time: 5 Deadlifts (275/185 lb), 13 Push-ups, 9 Box Jumps (24/20 in)",https://www.crossfit.com/workout/mcghee,Heavy deadlifts - honoring Ryan McGhee,TRUE,
39,Nutts,CrossFit,Hero,Fastest Time,Time (MM:SS),"10 rounds for time: 10 Handstand Push-ups, 15 Deadlifts (250/175 lb)",https://www.crossfit.com/workout/nutts,Pressing and heavy deadlifts - honoring Timothy P. Nuttall,TRUE,
40,The Chief,CrossFit,Benchmark,Rounds+Reps,"5 rounds, 3 min AMRAP: 3 Power Cleans (135/95 lb), 6 Push-ups, 9 Air Squats. Rest 1 min between rounds",https://www.crossfit.com/workout/the-chief,Interval workout with power cleans,TRUE,
41,The Ghost,CrossFit,Hero,Rounds+Reps,"6 rounds: 1 min max cal Row, 1 min max Burpees, 1 min max Double Unders. Rest 1 min between rounds",https://www.crossfit.com/workout/the-ghost,High intensity intervals - honoring Marc Lee,TRUE,
42,Bull,CrossFit,Hero,Fastest Time,Time (MM:SS),"2 rounds for time: 200 Double Unders, 50 Overhead Squats (135/95 lb), 50 Pull-ups, 1 mile Run",https://www.crossfit.com/workout/bull,Long chipper - honoring Mark Carter,TRUE,
43,Nick,CrossFit,Hero,Fastest Time,Time (MM:SS),"10 rounds for time: 400m Run, 15 Parallette Handstand Push-ups, 30 Squats",https://www.crossfit.com/workout/nick,Running and gymnastics - honoring Nicholas Spehar,TRUE,
44,Jack,CrossFit,Hero,Fastest Time,Time (MM:SS),"20 min AMRAP (with 20 lb vest): 10 Push Press (115/75 lb), 10 Kettlebell Swings (53/35 lb), 10 Box Jumps (24/20 in)",https://www.crossfit.com/workout/jack,Weighted vest AMRAP - honoring Jack M. Martin III,TRUE,
45,Badger,CrossFit,Hero,Fastest Time,Time (MM:SS),"3 rounds for time: 30 Squat Cleans (95/65 lb), 30 Pull-ups, 800m Run",https://www.crossfit.com/workout/badger,Running and barbell - honoring Mark Carter,TRUE,
46,Arnie,CrossFit,Hero,Fastest Time,Time (MM:SS),"With a 20 lb vest: 21 Turkish Get-ups, 50 Swings (70/53 lb), 21 Overhead Walking Lunges (45/25 lb plate), 50 Swings, 21 Turkish Get-ups for time",https://www.crossfit.com/workout/arnie,Weighted vest kettlebell work - honoring Arnaldo Quinones,TRUE,
47,Blake,CrossFit,Hero,Fastest Time,Time (MM:SS),"4 rounds for time: 100 ft Walking Lunge, 30 Box Jumps (24/20 in), 20 Wallballs (20/14 lb), 10 Handstand Push-ups",https://www.crossfit.com/workout/blake,Mixed modal - honoring Travis Blake,TRUE,
48,Clovis,CrossFit,Hero,Fastest Time,Time (MM:SS),"10 rounds for time: 5 Pull-ups, 10 Push-ups, 15 Air Squats, 400m Run",https://www.crossfit.com/workout/clovis,Long chipper with running - honoring Robert Clovis,TRUE,
49,Klepto,CrossFit,Hero,Rounds+Reps,"27 min AMRAP: 27 Box Jumps (24/20 in), 20 Burpees, 11 Squat Cleans (145/105 lb)",https://www.crossfit.com/workout/klepto,Heavy cleans AMRAP - honoring Timothy John Maguire,TRUE,
50,Baddy,CrossFit,Benchmark,Fastest Time,Time (MM:SS),"30-20-10 reps for time: Thrusters (95/65 lb), Chest-to-Bar Pull-ups",https://www.crossfit.com/www.crossfit.com,Thruster and pull-up variation,TRUE,
